Club_ID,Club_Name,Season,Existing_Country,Occurrences,New_League
36590,ACS Poli,19/20,,30,
34768,Luceafarul,19/20,,24,
101732,Mediaș 2022,23/24,,22,
97081,Cetatea Tr. M.,23/24,,21,
101586,Unirea Alba I.,24/25,,20,
34724,CAO 1910 Oradea,22/23,,20,
32419,CSM Deva,23/24,,17,
72298,CSU Alba Iulia,24/25,,17,
84455,SCM Zalau,21/22,,17,
84455,SCM Zalau,25/26,,16,
59355,Crisul Chisineu,22/23,,15,
84921,Miner. Ocna Dej,23/24,,15,
37185,O. Secuiesc,21/22,,15,
37185,O. Secuiesc,22/23,,13,
101586,Unirea Alba I.,23/24,,13,
84921,Miner. Ocna Dej,22/23,,12,
86102,CSM Bacau,24/25,,12,
56359,Pop. Leordeni,23/24,,12,
56358,ACSO Filiasi,21/22,,12,
84455,SCM Zalau,22/23,,12,
86060,Dante Botosani,22/23,,11,
34972,Sanatatea,24/25,,11,
37205,Sântandrei,24/25,,11,
86161,Kids Tampa,22/23,,11,
113007,LPSHD Clinceni,24/25,,11,
84455,SCM Zalau,24/25,,11,
113007,LPSHD Clinceni,25/26,,11,
41535,Miroslava,23/24,,11,
76727,V. Colonesti,22/23,,11,
56358,ACSO Filiasi,19/20,,11,
56359,Pop. Leordeni,25/26,,11,
36599,Foresta Suceava,19/20,,11,
86655,Viitorul Cluj,23/24,,11,
100744,ACS Tg. Mures,24/25,,11,
34972,Sanatatea,25/26,,11,
56359,Pop. Leordeni,24/25,,11,
60793,Agricola B.,23/24,,10,
133846,A. Bals,25/26,,10,
60793,Agricola B.,24/25,,10,
76727,V. Colonesti,21/22,,10,
97081,Cetatea Tr. M.,24/25,,10,
86093,Potcoava,22/23,,10,
37621,CS Balotesti,19/20,,10,
84731,SJ Vaslui,22/23,,10,
95789,Gloria Baneasa,23/24,,10,
56364,Soimii Lipova,22/23,,10,
37202,CS Blejoi,22/23,,10,
122344,CSL Ștefănești,25/26,,10,
101732,Mediaș 2022,22/23,,10,
111686,Rm. Valcea,24/25,,10,
91521,Viitorul Simian,21/22,,10,
37185,O. Secuiesc,23/24,,9,
70286,Flacara Horezu,22/23,,9,
68958,CSC Ghiroda,19/20,,9,
37205,Sântandrei,25/26,,9,
85250,Somuz Falticeni,20/21,,9,
111686,Rm. Valcea,25/26,,9,
102286,ARO Câmpulung,24/25,,9,
86102,CSM Bacau,23/24,,9,
41535,Miroslava,22/23,,9,
70286,Flacara Horezu,19/20,,9,
43778,Sport Team,19/20,,9,
101732,Mediaș 2022,24/25,,9,
84455,SCM Zalau,23/24,,9,
84889,Mostistea Ulmu,20/21,,9,
56359,Pop. Leordeni,21/22,,9,
37197,Vointa Lupac,21/22,,8,
83092,Daesti,22/23,,8,
83218,SR Brasov,23/24,,8,
36590,ACS Poli,20/21,,8,
84455,SCM Zalau,19/20,,8,
113377,CSM Adjud,25/26,,8,
76727,V. Colonesti,24/25,,8,
86159,Gheorghe Doja,21/22,,8,
86093,Potcoava,20/21,,8,
85693,Somcuta Mare,20/21,,8,
68958,CSC Ghiroda,22/23,,8,
83218,SR Brasov,19/20,,8,
41365,Metalurg. Cugir,19/20,,8,
111298,T. Sag,23/24,,8,
86655,Viitorul Cluj,24/25,,8,
86655,Viitorul Cluj,25/26,,8,
86060,Dante Botosani,21/22,,8,
85693,Somcuta Mare,21/22,,8,
44810,Lotus B. Felix,22/23,,8,
100744,ACS Tg. Mures,23/24,,8,
101586,Unirea Alba I.,22/23,,8,
72570,Fortuna B. Mic,20/21,,8,
37202,CS Blejoi,21/22,,8,
94873,Victoria Carei,23/24,,8,
86153,Gilortul,20/21,,8,
30629,National Sebis,19/20,,8,
84889,Mostistea Ulmu,19/20,,8,
94410,Dinamo Bacau,23/24,,8,
43778,Sport Team,21/22,,8,
68595,CSM Targu Mures,19/20,,8,
95996,Rapid Brodoc,22/23,,8,
68958,CSC Ghiroda,21/22,,8,
86160,Pecica,22/23,,8,
61139,OC Rasnov,20/21,,8,
56358,ACSO Filiasi,24/25,,8,
44810,Lotus B. Felix,25/26,,8,
43778,Sport Team,24/25,,8,
112076,Tarlungeni,23/24,,8,
76727,V. Colonesti,25/26,,8,
34726,Coltea,23/24,,8,
