TM_Player_ID,Player_Name,Season,Origin_Club,Origin_Club_ID,Origin_League,Destination_Club,Destination_Club_ID,Destination_League,Fee_Raw,Fee_Est_M,Transfer_Type,Date_of_Birth,Citizenship,Market_Value_At_Transfer,Market_Value_Next_Season,Origin_Country,Destination_Country
470152,Dennis Politic,25/26,FC Dinamo 1948,312,Superliga,FCSB,301,Superliga,970k,0.97,Permanent,5/3/2000,Romania,1.5,,Romania,Romania
368624,Mamadou Thiam,25/26,FC Universitatea Cluj,6429,Superliga,FCSB,301,Superliga,50k,0.05,Permanent,20/03/1995,Senegal,1,,Romania,Romania
588095,André Duarte,25/26,Újpest FC,708,Nemzeti Bajnokság,FCSB,301,Superliga,free transfer,0,Free Transfer,12/9/1997,Portugal,0.8,,Hungary,Romania
200495,Ofri Arad,25/26,Kairat Almaty,10482,Premier Liga 2026,FCSB,301,Superliga,free transfer,0,Free Transfer,11/9/1998,Israel,1.2,,Kazakhstan,Romania
131728,Daniel Graovac,25/26,CFR Cluj,7769,Superliga,FCSB,301,Superliga,free transfer,0,Free Transfer,8/8/1993,Bosnia-Herzegovina,0.5,,Romania,Romania
81396,Denis Alibec,25/26,FCV Farul Constanta,29831,Superliga,FCSB,301,Superliga,free transfer,0,Free Transfer,5/1/1991,Romania,0.6,,Romania,Romania
880840,Andrei Gheorghiță,25/26,ACSM Politehnica Iasi,33966,Liga 2,FCSB,301,Superliga,free transfer,0,Free Transfer,16/07/2002,Romania,0.7,,Romania,Romania
912165,Laurențiu Vlăsceanu,25/26,UTA Arad,952,Superliga,FCSB,301,Superliga,End of loan,0,Loan,29/05/2005,Romania,0.15,,Romania,Romania
992832,David Popa,25/26,FCSB U18,58202,Youth/Reserve,FCSB,301,Superliga,-,0,Permanent,13/03/2007,Romania,0.05,,Romania,Romania
1085616,Sebastian Radu,25/26,FCSB U18,58202,Youth/Reserve,FCSB,301,Superliga,-,0,Permanent,12/9/2005,Romania,0,,Romania,Romania
433979,Adrian Șut,25/26,FCSB,301,Superliga,Al-Ain,2150,UAE Pro League,1.40m,1.4,Permanent,30/04/1999,Romania,3.8,,Romania,United Arab Emirates
685795,Marius Ștefănescu,25/26,FCSB,301,Superliga,Konyaspor,2293,Süper Lig,300k,0.3,Permanent,14/08/1998,Romania,1.2,,Romania,Türkiye
468704,Malcom Edjouma,25/26,FCSB,301,Superliga,QD Hainiu,8536,Chinese Super League 2026,free transfer,0,Free Transfer,8/10/1996,Morocco,0.8,,Romania,China
81396,Denis Alibec,25/26,FCSB,301,Superliga,FCV Farul Constanta,29831,Superliga,free transfer,0,Free Transfer,5/1/1991,Romania,0.5,,Romania,Romania
881064,Alexandru Musi,25/26,FCSB,301,Superliga,FC Dinamo 1948,312,Superliga,free transfer,0,Free Transfer,17/07/2004,Romania,0.7,,Romania,Romania
992848,Ricardo Pădurariu,25/26,FCSB,301,Superliga,Corvinul Hunedoara,41061,Liga 2,loan transfer,0,Loan,23/05/2007,Romania,0,,Romania,Romania
912165,Laurențiu Vlăsceanu,25/26,FCSB,301,Superliga,UTA Arad,952,Superliga,loan transfer,0,Loan,29/05/2005,Romania,0.15,,Romania,Romania
1085616,Sebastian Radu,25/26,FCSB,301,Superliga,AFC Progresul 1944 Spartac,60790,Liga 2,loan transfer,0,Loan,12/9/2005,Romania,0,,Romania,Romania
623425,Ovidiu Perianu,25/26,FCSB,301,Superliga,CFR Cluj,7769,Superliga,free transfer,0,Free Transfer,16/04/2002,Romania,0.65,,Romania,Romania
880840,Andrei Gheorghiță,25/26,FCSB,301,Superliga,FC Universitatea Cluj,6429,Superliga,free transfer,0,Free Transfer,16/07/2002,Romania,0.7,,Romania,Romania
449879,William Baeten,25/26,FCSB,301,Superliga,Flamurtari FC,12460,Kategoria Superiore,free transfer,0,Free Transfer,7/2/1997,Belgium,0.6,,Romania,Albania
531909,Jordan Gele,25/26,FCSB,301,Superliga,Al-Kharaitiyat,19585,Qatari Second Division,free transfer,0,Free Transfer,16/09/1992,France,0.25,,Romania,Qatar
212746,Alexandru Băluță,25/26,FCSB,301,Superliga,LAFC,51828,Major League Soccer 2026,free transfer,0,Free Transfer,13/09/1993,Romania,0.9,,Romania,United States
912165,Laurențiu Vlăsceanu,25/26,FCSB,301,Superliga,AFC Unirea 04 Slobozia,29700,Superliga,loan transfer,0,Loan,29/05/2005,Romania,0.15,,Romania,Romania
468192,Daniel Bîrligea,24/25,CFR Cluj,7769,Superliga,FCSB,301,Superliga,3.00m,3,Permanent,19/04/2000,Romania,1.6,,Romania,Romania
685795,Marius Ștefănescu,24/25,Sepsi OSK Sf. Gheorghe,54585,Superliga,FCSB,301,Superliga,1.30m,1.3,Permanent,14/08/1998,Romania,1.7,1.2,Romania,Romania
992823,Alexandru Stoian,24/25,FCV Farul Constanta,29831,Superliga,FCSB,301,Superliga,900k,0.9,Permanent,15/12/2007,Romania,0.15,,Romania,Romania
1073910,Ionuț Cercel,24/25,FCV Farul Constanta,29831,Superliga,FCSB,301,Superliga,900k,0.9,Permanent,14/11/2006,Romania,0.2,,Romania,Romania
531909,Jordan Gele,24/25,AFC Unirea 04 Slobozia,29700,Superliga,FCSB,301,Superliga,300k,0.3,Permanent,16/09/1992,France,0.1,0.25,Romania,Romania
341364,Daniel Popa,24/25,FC Universitatea Cluj,6429,Superliga,FCSB,301,Superliga,300k,0.3,Permanent,14/07/1995,Romania,0.65,0.65,Romania,Romania
449879,William Baeten,24/25,FC U Craiova 1948,1007,Liga 2,FCSB,301,Superliga,300k,0.3,Permanent,7/2/1997,Belgium,0.55,0.6,Romania,Romania
147558,Lukas Zima,24/25,Petrolul Ploiesti,9465,Superliga,FCSB,301,Superliga,250k,0.25,Permanent,9/1/1994,Czech Republic,1,,Romania,Romania
361537,Mihai Popescu,24/25,FCV Farul Constanta,29831,Superliga,FCSB,301,Superliga,250k,0.25,Permanent,7/5/1993,Romania,0.9,,Romania,Romania
163999,Juri Cisotti,24/25,SC Otelul Galati,4959,Superliga,FCSB,301,Superliga,200k,0.2,Permanent,5/5/1993,Italy,0.75,,Romania,Romania
880840,Andrei Gheorghiță,24/25,ACSM Politehnica Iasi,33966,Superliga,FCSB,301,Superliga,Loan fee:120k,0.12,Loan,16/07/2002,Romania,0.5,0.7,Romania,Romania
379870,David Kiki,24/25,FCV Farul Constanta,29831,Superliga,FCSB,301,Superliga,free transfer,0,Free Transfer,25/11/1993,Benin,1,,Romania,Romania
314329,Florin Tănase,24/25,Al-Okhdood,71665,Saudi Pro League,FCSB,301,Superliga,free transfer,0,Free Transfer,30/12/1994,Romania,3,,Saudi Arabia,Romania
1179041,Andrei Dăncuș,24/25,FCSB U18,58202,Youth/Reserve,FCSB,301,Superliga,-,0,Permanent,20/01/2009,Romania,0,,Romania,Romania
340982,Florinel Coman,24/25,FCSB,301,Superliga,Al-Gharafa,6297,Qatar Stars League,6.00m,6,Permanent,10/4/1998,Romania,7,,Romania,Qatar
608977,Nana Antwi,24/25,FCSB,301,Superliga,FC Hermannstadt,58049,Superliga,Loan fee:500k,0.5,Loan,10/8/2000,Ghana,0.35,0.5,Romania,Romania
424302,Andrei Vlad,24/25,FCSB,301,Superliga,Aktobe,10157,Premier Liga 2025,free transfer,0,Free Transfer,15/04/1999,Romania,0.2,0.4,Romania,Kazakhstan
481484,Ionuț Panțîru,24/25,FCSB,301,Superliga,FC Voluntari,40843,Liga 2,free transfer,0,Free Transfer,22/03/1996,Romania,0.4,0.3,Romania,Romania
673830,Luis Phelipe,24/25,FCSB,301,Superliga,FC Sheriff,2481,Super Liga,free transfer,0,Free Transfer,12/2/2001,Brazil,0.5,0.275,Romania,Moldova
289017,Ovidiu Popescu,24/25,FCSB,301,Superliga,FC Universitatea Cluj,6429,Superliga,free transfer,0,Free Transfer,27/02/1994,Romania,0.7,0.75,Romania,Romania
731522,Eduard Radaslavescu,24/25,FCSB,301,Superliga,FCV Farul Constanta,29831,Superliga,free transfer,0,Free Transfer,30/07/2004,Romania,0.4,,Romania,Romania
608478,Andrei Pandele,24/25,FCSB,301,Superliga,FC Voluntari,40843,Liga 2,free transfer,0,Free Transfer,9/7/2003,Romania,0.2,0.075,Romania,Romania
412641,Denis Haruț,24/25,FCSB,301,Superliga,Sepsi OSK Sf. Gheorghe,54585,Superliga,free transfer,0,Free Transfer,25/02/1999,Romania,0.4,,Romania,Romania
341364,Daniel Popa,24/25,FCSB,301,Superliga,Genclerbirligi,820,Süper Lig,?,0,Permanent,14/07/1995,Romania,0.65,0.65,Romania,Türkiye
992848,Ricardo Pădurariu,24/25,FCSB,301,Superliga,Gloria Bistrita,72860,Liga 2,loan transfer,0,Loan,23/05/2007,Romania,0,0,Romania,Romania
623425,Ovidiu Perianu,24/25,FCSB,301,Superliga,AFC Unirea 04 Slobozia,29700,Superliga,loan transfer,0,Loan,16/04/2002,Romania,0.2,0.65,Romania,Romania
626899,Baba Alhassan,23/24,FC Hermannstadt,58049,Superliga,FCSB,301,Superliga,600k,0.6,Permanent,3/1/2000,Uganda,0.85,,Romania,Romania
445610,Siyabonga Ngezana,23/24,Kaizer Chiefs,568,Betway Premiership,FCSB,301,Superliga,600k,0.6,Permanent,15/07/1997,South Africa,0.75,,South Africa,Romania
673830,Luis Phelipe,23/24,ACSM Politehnica Iasi,33966,Superliga,FCSB,301,Superliga,200k,0.2,Permanent,12/2/2001,Brazil,0.35,0.5,Romania,Romania
608977,Nana Antwi,23/24,FC Urartu,11411,Premier League,FCSB,301,Superliga,100k,0.1,Permanent,10/8/2000,Ghana,0.275,0.35,Armenia,Romania
212746,Alexandru Băluță,23/24,Puskás AFC,37169,Nemzeti Bajnokság,FCSB,301,Superliga,free transfer,0,Free Transfer,13/09/1993,Romania,0.7,0.9,Hungary,Romania
143039,Damjan Djokovic,23/24,Al-Raed,22381,Saudi Pro League,FCSB,301,Superliga,free transfer,0,Free Transfer,18/04/1990,Croatia,0.3,0,Saudi Arabia,Romania
123261,Vlad Chiricheș,23/24,Cremonese,2239,TBD,FCSB,301,Superliga,free transfer,0,Free Transfer,14/11/1989,Romania,0.9,,Italy,Romania
262117,Cristian Ganea,23/24,Panathinaikos,265,Super League 1,FCSB,301,Superliga,free transfer,0,Free Transfer,24/05/1992,Romania,0.6,,Greece,Romania
623425,Ovidiu Perianu,23/24,FC Universitatea Cluj,6429,Superliga,FCSB,301,Superliga,End of loan,0,Loan,16/04/2002,Romania,0.2,0.2,Romania,Romania
547754,Ianis Stoica,23/24,FC Universitatea Cluj,6429,Superliga,FCSB,301,Superliga,End of loan,0,Loan,8/12/2002,Romania,1,2,Romania,Romania
786187,Mihai Udrea,23/24,FCSB II,9819,Youth/Reserve,FCSB,301,Superliga,-,0,Permanent,20/07/2001,Romania,0.125,,Romania,Romania
881064,Alexandru Musi,23/24,Petrolul Ploiesti,9465,Superliga,FCSB,301,Superliga,End of loan,0,Loan,17/07/2004,Romania,0.8,0.7,Romania,Romania
912165,Laurențiu Vlăsceanu,23/24,FCSB U18,58202,Youth/Reserve,FCSB,301,Superliga,-,0,Permanent,29/05/2005,Romania,0.025,0.25,Romania,Romania
992820,Mihai Toma,23/24,FCSB U18,58202,Youth/Reserve,FCSB,301,Superliga,-,0,Permanent,17/02/2007,Romania,0,,Romania,Romania
250573,Dorin Rotariu,23/24,Without Club,515,TBD,FCSB,301,Superliga,-,0,Permanent,29/07/1995,Romania,0.5,0.35,,Romania
435712,Andrei Cordea,23/24,FCSB,301,Superliga,Al-Tai,40079,Saudi First Division League,1.32m,1.32,Permanent,24/06/1999,Romania,2.3,1.3,Romania,Saudi Arabia
547754,Ianis Stoica,23/24,FCSB,301,Superliga,FC Hermannstadt,58049,Superliga,500k,0.5,Permanent,8/12/2002,Romania,1,2,Romania,Romania
468704,Malcom Edjouma,23/24,FCSB,301,Superliga,Bari,332,Serie B,Loan fee:200k,0.2,Loan,8/10/1996,Morocco,1.5,0.8,Romania,Italy
287255,Andrea Compagno,23/24,FCSB,301,Superliga,TJ Jinmen Tiger,3187,Chinese Super League 2024,120k,0.12,Permanent,22/04/1996,Italy,2.3,3.5,Romania,China
567518,Sorin Șerban,23/24,FCSB,301,Superliga,ACSM Politehnica Iasi,33966,Superliga,free transfer,0,Free Transfer,17/03/2000,Romania,0.1,0,Romania,Romania
131589,Billel Omrani,23/24,FCSB,301,Superliga,Petrolul Ploiesti,9465,Superliga,free transfer,0,Free Transfer,2/6/1993,Algeria,0.85,0.3,Romania,Romania
453810,Valentin Gheorghe,23/24,FCSB,301,Superliga,FC Universitatea Cluj,6429,Superliga,free transfer,0,Free Transfer,14/02/1997,Romania,0.55,0.45,Romania,Romania
111556,Joonas Tamm,23/24,FCSB,301,Superliga,Botev Plovdiv,2531,efbet Liga,free transfer,0,Free Transfer,2/2/1992,Estonia,0.8,0.5,Romania,Bulgaria
912165,Laurențiu Vlăsceanu,23/24,FCSB,301,Superliga,AFC Unirea 04 Slobozia,29700,Liga 2,loan transfer,0,Loan,29/05/2005,Romania,0.025,0.25,Romania,Romania
418223,Ovidiu Horșia,23/24,FCSB,301,Superliga,Alexandria,37245,Liga 2,free transfer,0,Free Transfer,30/10/2000,Romania,0.1,0,Romania,Romania
