Club_Name,Season,League
FCSB,25/26,Superliga
FC Rapid 1923,25/26,Superliga
CS Universitatea Craiova,25/26,Superliga
CFR Cluj,25/26,Superliga
FC Dinamo 1948,25/26,Superliga
FC Universitatea Cluj,25/26,Superliga
FC Botosani,25/26,Superliga
FCV Farul Constanta,25/26,Superliga
UTA Arad,25/26,Superliga
SC Otelul Galati,25/26,Superliga
Petrolul Ploiesti,25/26,Superliga
ACSC FC Arges,25/26,Superliga
FC Hermannstadt,25/26,Superliga
AFC Unirea 04 Slobozia,25/26,Superliga
FK Csikszereda Miercurea Ciuc,25/26,Superliga
FC Metaloglobus Bucharest,25/26,Superliga
FCSB,24/25,Superliga
CFR Cluj,24/25,Superliga
FC Rapid 1923,24/25,Superliga
CS Universitatea Craiova,24/25,Superliga
FC Universitatea Cluj,24/25,Superliga
FC Dinamo 1948,24/25,Superliga
Sepsi OSK Sf. Gheorghe,24/25,Superliga
FCV Farul Constanta,24/25,Superliga
SC Otelul Galati,24/25,Superliga
Petrolul Ploiesti,24/25,Superliga
FC Hermannstadt,24/25,Superliga
FC Botosani,24/25,Superliga
UTA Arad,24/25,Superliga
ACSM Politehnica Iasi,24/25,Superliga
ASFC Buzau (2016-2025),24/25,Superliga
AFC Unirea 04 Slobozia,24/25,Superliga
FCSB,23/24,Superliga
FC Rapid 1923,23/24,Superliga
FCV Farul Constanta,23/24,Superliga
CFR Cluj,23/24,Superliga
CS Universitatea Craiova,23/24,Superliga
Sepsi OSK Sf. Gheorghe,23/24,Superliga
FC Universitatea Cluj,23/24,Superliga
UTA Arad,23/24,Superliga
FC Hermannstadt,23/24,Superliga
Petrolul Ploiesti,23/24,Superliga
FC Botosani,23/24,Superliga
FC Dinamo 1948,23/24,Superliga
SC Otelul Galati,23/24,Superliga
FC Voluntari,23/24,Superliga
FC U Craiova 1948,23/24,Superliga
ACSM Politehnica Iasi,23/24,Superliga
FCSB,22/23,Superliga
CFR Cluj,22/23,Superliga
FCV Farul Constanta,22/23,Superliga
CS Universitatea Craiova,22/23,Superliga
FC Rapid 1923,22/23,Superliga
Sepsi OSK Sf. Gheorghe,22/23,Superliga
FC U Craiova 1948,22/23,Superliga
FC Universitatea Cluj,22/23,Superliga
UTA Arad,22/23,Superliga
FC Voluntari,22/23,Superliga
FC Botosani,22/23,Superliga
ACSC FC Arges,22/23,Superliga
Petrolul Ploiesti,22/23,Superliga
FC Hermannstadt,22/23,Superliga
AFC Chindia Targoviste,22/23,Superliga
CS Mioveni,22/23,Superliga
FCSB,21/22,Superliga
CFR Cluj,21/22,Superliga
CS Universitatea Craiova,21/22,Superliga
FCV Farul Constanta,21/22,Superliga
FC Botosani,21/22,Superliga
Sepsi OSK Sf. Gheorghe,21/22,Superliga
FC Rapid 1923,21/22,Superliga
FC Voluntari,21/22,Superliga
FC Dinamo 1948,21/22,Superliga
AFC Chindia Targoviste,21/22,Superliga
UTA Arad,21/22,Superliga
ACSC FC Arges,21/22,Superliga
Gaz Metan Medias (- 2022),21/22,Superliga
FC U Craiova 1948,21/22,Superliga
Academica Clinceni,21/22,Superliga
CS Mioveni,21/22,Superliga
FCSB,20/21,Superliga
CS Universitatea Craiova,20/21,Superliga
CFR Cluj,20/21,Superliga
FC Viitorul Constanta,20/21,Superliga
Astra Giurgiu (- 2024),20/21,Superliga
FC Dinamo 1948,20/21,Superliga
FC Botosani,20/21,Superliga
Sepsi OSK Sf. Gheorghe,20/21,Superliga
FC Voluntari,20/21,Superliga
Academica Clinceni,20/21,Superliga
FC Hermannstadt,20/21,Superliga
UTA Arad,20/21,Superliga
Gaz Metan Medias (- 2022),20/21,Superliga
AFC Chindia Targoviste,20/21,Superliga
ACSC FC Arges,20/21,Superliga
ACSM Politehnica Iasi,20/21,Superliga
FCSB,19/20,Superliga
CFR Cluj,19/20,Superliga
CS Universitatea Craiova,19/20,Superliga
FC Viitorul Constanta,19/20,Superliga
Astra Giurgiu (- 2024),19/20,Superliga
FC Dinamo 1948,19/20,Superliga
FC Botosani,19/20,Superliga
FC Voluntari,19/20,Superliga
ACSM Politehnica Iasi,19/20,Superliga
Gaz Metan Medias (- 2022),19/20,Superliga
Sepsi OSK Sf. Gheorghe,19/20,Superliga
FC Hermannstadt,19/20,Superliga
AFC Chindia Targoviste,19/20,Superliga
Academica Clinceni,19/20,Superliga
Sepsi OSK Sf. Gheorghe,25/26,Liga 2
AFC ASA Targu Mures,25/26,Liga 2
FC Voluntari,25/26,Liga 2
ACSM Politehnica Iasi,25/26,Liga 2
Corvinul Hunedoara,25/26,Liga 2
CSA Steaua,25/26,Liga 2
Concordia Chiajna,25/26,Liga 2
AFC Metalul Buzau,25/26,Liga 2
FC Bihor 1902,25/26,Liga 2
ACSM Resita,25/26,Liga 2
CSM Slatina,25/26,Liga 2
AFC Chindia Targoviste,25/26,Liga 2
CSC Dumbravita,25/26,Liga 2
CSC 1599 Selimbar,25/26,Liga 2
CS Dinamo Bucuresti,25/26,Liga 2
FC Bacau,25/26,Liga 2
CS Afumati,25/26,Liga 2
Gloria Bistrita,25/26,Liga 2
CSM Olimpia Satu Mare,25/26,Liga 2
CSM Ceahlaul Piatra Neamt,25/26,Liga 2
AFC Campulung Muscel 2022,25/26,Liga 2
