Club_Name,Club_ID,Transfer_URL
FCSB,301,https://www.transfermarkt.com/fcsb/alletransfers/verein/301
FC Rapid 1923,455,https://www.transfermarkt.com/fc-rapid-1923/alletransfers/verein/455
CS Universitatea Craiova,40812,https://www.transfermarkt.com/universitatea-craiova/alletransfers/verein/40812
CFR Cluj,7769,https://www.transfermarkt.com/cfr-cluj/alletransfers/verein/7769
FC Dinamo 1948,312,https://www.transfermarkt.com/fc-dinamo/alletransfers/verein/312
FC Universitatea Cluj,6429,https://www.transfermarkt.com/fc-universitatea-cluj/alletransfers/verein/6429
FC Botosani,8818,https://www.transfermarkt.com/fc-botosani/alletransfers/verein/8818
FCV Farul Constanta,29831,https://www.transfermarkt.com/fc-viitorul-constanta/alletransfers/verein/29831
UTA Arad,952,https://www.transfermarkt.com/uta-arad/alletransfers/verein/952
SC Otelul Galati,4959,https://www.transfermarkt.com/sc-otelul-galati/alletransfers/verein/4959
Petrolul Ploiesti,9465,https://www.transfermarkt.com/petrolul-ploiesti/alletransfers/verein/9465
ACSC FC Arges,41278,https://www.transfermarkt.com/acsc-fc-arges/alletransfers/verein/41278
FC Hermannstadt,58049,https://www.transfermarkt.com/fc-hermannstadt/alletransfers/verein/58049
AFC Unirea 04 Slobozia,29700,https://www.transfermarkt.com/afc-unirea-04-slobozia/alletransfers/verein/29700
FK Csikszereda Miercurea Ciuc,37255,https://www.transfermarkt.com/afk-csikszereda-miercurea-ciuc/alletransfers/verein/37255
FC Metaloglobus Bucharest,37624,https://www.transfermarkt.com/fc-metaloglobus-bukarest/alletransfers/verein/37624
Sepsi OSK Sf. Gheorghe,54585,https://www.transfermarkt.com/sepsi-osk-sf-gheorghe/alletransfers/verein/54585
ACSM Politehnica Iasi,33966,https://www.transfermarkt.com/acsm-politehnica-iasi/alletransfers/verein/33966
ASFC Buzau (2016-2025),11380,https://www.transfermarkt.com/scm-gloria-buzau/alletransfers/verein/11380
FC Voluntari,40843,https://www.transfermarkt.com/fc-voluntari/alletransfers/verein/40843
FC U Craiova 1948,1007,https://www.transfermarkt.com/fc-u-craiova-1948/alletransfers/verein/1007
AFC Chindia Targoviste,12680,https://www.transfermarkt.com/afc-chindia-targoviste/alletransfers/verein/12680
CS Mioveni,11390,https://www.transfermarkt.com/cs-mioveni/alletransfers/verein/11390
Gaz Metan Medias (- 2022),8104,https://www.transfermarkt.com/gaz-metan-medias/alletransfers/verein/8104
Academica Clinceni,21475,https://www.transfermarkt.com/academica-clinceni/alletransfers/verein/21475
Astra Giurgiu (- 2024),13499,https://www.transfermarkt.com/astra-giurgiu/alletransfers/verein/13499
AFC ASA Targu Mures,93148,https://www.transfermarkt.com/fc-asa-tg-mures/alletransfers/verein/93148
Corvinul Hunedoara,41061,https://www.transfermarkt.com/cs-hunedoara/alletransfers/verein/41061
CSA Steaua,61687,https://www.transfermarkt.com/csa-steaua/alletransfers/verein/61687
Concordia Chiajna,15945,https://www.transfermarkt.com/concordia-chiajna/alletransfers/verein/15945
AFC Metalul Buzau,60792,https://www.transfermarkt.com/metalul-buzau/alletransfers/verein/60792
FC Bihor 1902,101331,https://www.transfermarkt.com/fc-bihor-1902/alletransfers/verein/101331
ACSM Resita,4686,https://www.transfermarkt.com/csm-resita/alletransfers/verein/4686
CSM Slatina,84065,https://www.transfermarkt.com/csm-slatina/alletransfers/verein/84065
CSC Dumbravita,72297,https://www.transfermarkt.com/acs-dumbravita/alletransfers/verein/72297
CSC 1599 Selimbar,78257,https://www.transfermarkt.com/viitorul-selimbar/alletransfers/verein/78257
CS Dinamo Bucuresti,102149,https://www.transfermarkt.com/cs-dinamo-bucuresti/alletransfers/verein/102149
FC Bacau,111522,https://www.transfermarkt.com/fc-bacau/alletransfers/verein/111522
CS Afumati,37620,https://www.transfermarkt.com/cs-afumati/alletransfers/verein/37620
Gloria Bistrita,72860,https://www.transfermarkt.com/1-fc-gloria-bistrita/alletransfers/verein/72860
CSM Olimpia Satu Mare,86094,https://www.transfermarkt.com/csm-satu-mare/alletransfers/verein/86094
CSM Ceahlaul Piatra Neamt,8687,https://www.transfermarkt.com/csm-ceahlaul-piatra-neamt/alletransfers/verein/8687
AFC Campulung Muscel 2022,94872,https://www.transfermarkt.com/cs-rucar/alletransfers/verein/94872
