TM_Player_ID,Player_Name,Season,Origin_Club,Origin_Club_ID,Origin_League,Destination_Club,Destination_Club_ID,Destination_League,Fee_Raw,Fee_Est_M,Transfer_Type
470152,Dennis Politic,25/26,FC Dinamo 1948,312,Superliga,FCSB,301,Superliga,970k,0.97,Permanent
368624,Mamadou Thiam,25/26,FC Universitatea Cluj,6429,Superliga,FCSB,301,Superliga,50k,0.05,Permanent
588095,André Duarte,25/26,Újpest FC,708,TBD,FCSB,301,Superliga,free transfer,0.0,Free Transfer
200495,Ofri Arad,25/26,Kairat Almaty,10482,TBD,FCSB,301,Superliga,free transfer,0.0,Free Transfer
131728,Daniel Graovac,25/26,CFR Cluj,7769,Superliga,FCSB,301,Superliga,free transfer,0.0,Free Transfer
81396,Denis Alibec,25/26,FCV Farul Constanta,29831,Superliga,FCSB,301,Superliga,free transfer,0.0,Free Transfer
880840,Andrei Gheorghiță,25/26,ACSM Politehnica Iasi,33966,Liga 2,FCSB,301,Superliga,free transfer,0.0,Free Transfer
912165,Laurențiu Vlăsceanu,25/26,UTA Arad,952,Superliga,FCSB,301,Superliga,End of loan,0.0,Loan
992832,David Popa,25/26,FCSB U18,58202,TBD,FCSB,301,Superliga,-,0.0,Permanent
1085616,Sebastian Radu,25/26,FCSB U18,58202,TBD,FCSB,301,Superliga,-,0.0,Permanent
433979,Adrian Șut,25/26,FCSB,301,Superliga,Al-Ain,2150,TBD,1.40m,1.4,Permanent
685795,Marius Ștefănescu,25/26,FCSB,301,Superliga,Konyaspor,2293,TBD,300k,0.3,Permanent
468704,Malcom Edjouma,25/26,FCSB,301,Superliga,QD Hainiu,8536,TBD,free transfer,0.0,Free Transfer
81396,Denis Alibec,25/26,FCSB,301,Superliga,FCV Farul Constanta,29831,Superliga,free transfer,0.0,Free Transfer
881064,Alexandru Musi,25/26,FCSB,301,Superliga,FC Dinamo 1948,312,Superliga,free transfer,0.0,Free Transfer
992848,Ricardo Pădurariu,25/26,FCSB,301,Superliga,Corvinul Hunedoara,41061,Liga 2,loan transfer,0.0,Loan
912165,Laurențiu Vlăsceanu,25/26,FCSB,301,Superliga,UTA Arad,952,Superliga,loan transfer,0.0,Loan
1085616,Sebastian Radu,25/26,FCSB,301,Superliga,AFC Progresul 1944 Spartac,60790,TBD,loan transfer,0.0,Loan
623425,Ovidiu Perianu,25/26,FCSB,301,Superliga,CFR Cluj,7769,Superliga,free transfer,0.0,Free Transfer
880840,Andrei Gheorghiță,25/26,FCSB,301,Superliga,FC Universitatea Cluj,6429,Superliga,free transfer,0.0,Free Transfer
449879,William Baeten,25/26,FCSB,301,Superliga,Flamurtari FC,12460,TBD,free transfer,0.0,Free Transfer
531909,Jordan Gele,25/26,FCSB,301,Superliga,Al-Kharaitiyat,19585,TBD,free transfer,0.0,Free Transfer
212746,Alexandru Băluță,25/26,FCSB,301,Superliga,LAFC,51828,TBD,free transfer,0.0,Free Transfer
912165,Laurențiu Vlăsceanu,25/26,FCSB,301,Superliga,AFC Unirea 04 Slobozia,29700,Superliga,loan transfer,0.0,Loan
468192,Daniel Bîrligea,24/25,CFR Cluj,7769,Superliga,FCSB,301,Superliga,3.00m,3.0,Permanent
685795,Marius Ștefănescu,24/25,Sepsi OSK Sf. Gheorghe,54585,Superliga,FCSB,301,Superliga,1.30m,1.3,Permanent
992823,Alexandru Stoian,24/25,FCV Farul Constanta,29831,Superliga,FCSB,301,Superliga,900k,0.9,Permanent
1073910,Ionuț Cercel,24/25,FCV Farul Constanta,29831,Superliga,FCSB,301,Superliga,900k,0.9,Permanent
531909,Jordan Gele,24/25,AFC Unirea 04 Slobozia,29700,Superliga,FCSB,301,Superliga,300k,0.3,Permanent
341364,Daniel Popa,24/25,FC Universitatea Cluj,6429,Superliga,FCSB,301,Superliga,300k,0.3,Permanent
449879,William Baeten,24/25,FC U Craiova 1948,1007,Liga 2,FCSB,301,Superliga,300k,0.3,Permanent
147558,Lukas Zima,24/25,Petrolul Ploiesti,9465,Superliga,FCSB,301,Superliga,250k,0.25,Permanent
361537,Mihai Popescu,24/25,FCV Farul Constanta,29831,Superliga,FCSB,301,Superliga,250k,0.25,Permanent
163999,Juri Cisotti,24/25,SC Otelul Galati,4959,Superliga,FCSB,301,Superliga,200k,0.2,Permanent
880840,Andrei Gheorghiță,24/25,ACSM Politehnica Iasi,33966,Superliga,FCSB,301,Superliga,Loan fee:120k,0.12,Loan
379870,David Kiki,24/25,FCV Farul Constanta,29831,Superliga,FCSB,301,Superliga,free transfer,0.0,Free Transfer
314329,Florin Tănase,24/25,Al-Okhdood,71665,TBD,FCSB,301,Superliga,free transfer,0.0,Free Transfer
